0.626	0.148	0.083	0.248
0.051	0.724	0.509	0.352
0.233	0.548	0.341	0.212
0.008	0.767	0.553	0.396
0.774	0.001	0.22	0.388
0.926	0.153	0.37	0.538
0.349	0.433	0.215	0.056
0.011	0.771	0.556	0.399
0.215	0.545	0.43	0.056
0.525	0.275	0.071	0.122
0.002	0.389	0.766	0.167
0.392	0.415	0.199	0.04
0.093	0.681	0.466	0.311
0.427	0.421	0.215	0.092
0.171	0.464	0.53	0.147
0.606	0.344	0.22	0.234
0.028	0.745	0.531	0.376
0.4	0.678	0.001	0.557
0.774	0.001	0.22	0.388
0.798	0.266	0.299	0.402
0.761	0.153	0.219	0.358
0.29	0.109	0.622	0.577
0.713	0.087	0.182	0.346
0.385	0.413	0.195	0.029
0.571	0.211	0.016	0.177
0.246	0.531	0.315	0.158
0.796	0.255	0.292	0.399
0.193	0.591	0.386	0.253
0.03	0.764	0.548	0.389
0.905	0.209	0.357	0.502
0.204	0.569	0.355	0.206
1.046	0.278	0.487	0.649
0.907	0.138	0.349	0.515
0.09	0.688	0.477	0.328
0.643	0.157	0.09	0.244
0.559	0.219	0.0	0.168
0.349	0.421	0.215	0.403
0.593	0.295	0.163	0.203
0.131	0.663	0.445	0.282
0.419	0.389	0.173	0.035
0.641	0.152	0.084	0.243
0.877	0.109	0.327	0.495
0.002	0.39	0.773	0.0
0.504	0.359	0.175	0.129
0.42	0.368	0.149	0.019
0.424	0.398	0.187	0.058
0.846	0.091	0.303	0.471
0.797	0.556	0.659	0.746
0.868	0.305	0.349	0.249
0.847	0.092	0.303	0.472
0.087	0.69	0.479	0.33
0.559	0.436	0.374	0.559
0.111	0.683	0.465	0.303
0.566	0.21	0.013	0.178
0.435	0.426	0.224	0.108
0.548	0.23	0.011	0.158
0.403	0.388	0.169	0.0
0.018	0.788	0.573	0.415
0.612	0.335	0.216	0.237
0.557	0.221	0.002	0.167
0.559	0.219	0.001	0.169
0.703	0.099	0.144	0.305
0.856	0.083	0.301	0.469
0.962	0.189	0.405	0.571
0.426	0.421	0.214	0.09
0.402	0.444	0.235	0.095
0.825	0.084	0.286	0.454
0.53	0.378	0.211	0.172
0.888	0.116	0.331	0.498
0.226	0.555	0.349	0.22
0.574	0.202	0.019	0.187
0.431	0.454	0.255	0.135
0.557	0.221	0.002	0.167
0.162	0.181	0.692	0.556
0.666	0.152	0.118	0.264
0.408	0.431	0.221	0.083
0.562	0.216	0.003	0.172
0.017	0.767	0.552	0.394
0.937	0.167	0.379	0.544
0.457	0.378	0.174	0.083
0.434	0.421	0.217	0.1
0.274	0.504	0.287	0.13
0.697	0.138	0.148	0.295
0.415	0.386	0.169	0.025
0.004	0.77	0.556	0.4
0.241	0.003	0.176	0.089
0.698	0.08	0.154	0.321
0.757	0.057	0.198	0.362
0.505	0.338	0.148	0.117
0.61	0.342	0.222	0.238
0.853	0.117	0.295	0.454
0.9	0.13	0.343	0.508
0.487	0.323	0.116	0.085
0.923	0.15	0.368	0.536
0.458	0.351	0.14	0.061
0.71	0.147	0.166	0.307
0.024	0.791	0.578	0.424
0.015	0.785	0.57	0.413
0.085	0.689	0.476	0.323
0.388	0.006	0.083	0.401
0.001	0.772	0.558	0.402
0.434	0.445	0.246	0.128
0.258	0.522	0.304	0.145
0.527	0.287	0.092	0.124
0.083	0.695	0.484	0.335
0.772	0.001	0.218	0.386
0.373	0.457	0.243	0.087
0.353	0.452	0.234	0.066
0.081	0.694	0.481	0.33
0.024	0.424	0.563	0.692
0.637	0.217	0.128	0.234
0.002	0.771	0.556	0.401
0.557	0.22	0.002	0.167
0.815	0.251	0.304	0.417
0.093	0.681	0.467	0.311
0.006	0.768	0.554	0.398
0.563	0.216	0.004	0.172
0.096	0.298	0.096	0.059
0.558	0.255	0.077	0.155
0.817	0.065	0.273	0.441
0.043	0.81	0.598	0.444
0.43	0.405	0.197	0.076
0.632	0.389	0.277	0.279
0.044	0.749	0.533	0.373
0.221	0.258	0.531	0.007
0.737	0.064	0.2	0.367
0.735	0.078	0.204	0.368
0.401	0.389	0.17	0.002
0.924	0.151	0.37	0.537
0.35	0.489	0.274	0.114
0.084	0.693	0.481	0.331
0.21	0.574	0.37	0.24
0.833	0.061	0.28	0.448
0.569	0.215	0.021	0.173
